,Dataset,N_tr,seed,DetectT,Masktr,Maskte,Maskepoch,MaskT,Masksize,FCtr,FCte,FCepoch,FCT,FCsize,RFtr,RFte,RFT
0,0,800,0,11.548990964889526,0.018315113502398412,0.022517787292599678,296,15.587757587432861,1504.38671875,0.017315180271558664,0.025078099220991135,36,31.275161504745483,19373.5234375,0.024988200388966972,0.059536358723047106,0.09160637855529785
1,0,800,1,12.535043239593506,0.02093368135789203,0.027635831385850906,298,14.978126287460327,1504.38671875,0.01686708552951376,0.02636127918958664,72,32.26844048500061,19373.5234375,0.02923018233624677,0.06269202621512657,0.07402443885803223
2,0,800,2,13.812954664230347,0.022003721218457898,0.029271584004163742,298,14.294325351715088,1504.38671875,0.018305470255722205,0.0322699174284935,72,33.26458477973938,19373.5234375,0.03112648677874855,0.06529310489215474,0.05959057807922363
3,0,800,3,12.949368238449097,0.018427337920434012,0.021633446216583252,299,14.940244674682617,1504.38671875,0.017188355152073148,0.023234093561768532,48,32.45174694061279,19373.5234375,0.02497461127915912,0.05722094691215678,0.06852483749389648
4,0,800,4,11.988961458206177,0.017755470615891375,0.024582035839557648,288,15.192800998687744,1504.38671875,0.014825987615176478,0.0250552948564291,42,31.39941096305847,19373.5234375,0.02619548674676967,0.057043669873313024,0.06309866905212402
5,1,800,0,13.134525537490845,0.035640332099625534,0.04570912569761276,272,15.78003740310669,1504.38671875,0.010365339215454409,0.06666231900453568,205,31.624571561813354,19373.5234375,0.059393369889583006,0.13981890018542775,0.07525062561035156
6,1,800,1,11.139435768127441,0.03167023424021605,0.037523236125707626,297,16.21789312362671,1504.38671875,0.014939754788170424,0.061633072793483734,119,32.398173570632935,19373.5234375,0.05802592786262455,0.13251476654954944,0.06317639350891113
7,1,800,2,13.579212427139282,0.0208834325212964,0.027060968801379204,299,16.068047523498535,1504.38671875,0.0005827770351593932,0.047028254717588425,298,33.74422097206116,19373.5234375,0.05065875354279523,0.1140708600571802,0.06456923484802246
8,1,800,3,15.14193058013916,0.020367900047168427,0.032464370131492615,292,14.962183713912964,1504.38671875,0.009552054132164515,0.04416407644748688,266,33.46836233139038,19373.5234375,0.039356504892931715,0.09533189008196467,0.06881332397460938
9,1,800,4,14.827461957931519,0.021838974349541563,0.032725989818573,289,15.153732538223267,1504.38671875,0.00493929424282281,0.05051904916763306,180,37.6685004234314,19373.5234375,0.04802179583054127,0.11253292029763122,0.04943227767944336
10,2,800,0,10.377170085906982,0.02668890638926375,0.0342092327773571,298,13.46528697013855,1504.38671875,0.004707590800146541,0.057127296924591064,201,41.982542276382446,19373.5234375,0.03643730615927054,0.07744391480056956,0.06729459762573242
11,2,800,1,12.239797353744507,0.022981757125818632,0.03194861114025116,299,14.536341905593872,1504.38671875,0.008417312173830236,0.06339812278747559,297,42.81636166572571,19373.5234375,0.040891745111707394,0.09164115806638928,0.0944516658782959
12,2,800,2,12.071950197219849,0.01930370589283851,0.02500102110207081,297,14.881152629852295,1504.38671875,0.007497368107725548,0.05471796914935112,187,44.784969091415405,19373.5234375,0.03708946199073682,0.07834503628914934,0.08660125732421875
13,2,800,3,15.927990198135376,0.022696330560195342,0.03327768296003342,298,15.129455804824829,1504.38671875,0.0071863154987632126,0.0574616864323616,274,45.737515449523926,19373.5234375,0.040947229906839515,0.10858509357102274,0.06778287887573242
14,2,800,4,16.59362769126892,0.02781754323302635,0.03131820261478424,271,12.880239486694336,1504.38671875,0.02347907726921539,0.06211914122104645,213,47.05971336364746,19373.5234375,0.038735723425281844,0.08936811067743426,0.07367086410522461
15,3,800,0,12.7285475730896,0.02258434378289983,0.033567361533641815,293,15.475821256637573,1504.38671875,0.004236741278223421,0.05992123484611511,282,48.69332265853882,19373.5234375,0.03800957398508536,0.08251800221917449,0.08425641059875488
16,3,800,1,9.516130685806274,0.02021164446480621,0.02876727469265461,299,15.613301277160645,1504.38671875,0.00591459199560503,0.06657364219427109,285,50.24823236465454,19373.5234375,0.04171032660353443,0.09380786222611977,0.06833171844482422
17,3,800,2,16.50878071784973,0.018458505975625136,0.022728899493813515,298,15.94010877609253,1504.38671875,0.005474465710308801,0.05506235361099243,213,51.15865468978882,19373.5234375,0.038163055623565846,0.08138818932665527,0.0696110725402832
18,3,800,3,15.11419677734375,0.022441424418438154,0.03105112910270691,297,14.278197288513184,1504.38671875,0.005542735443751026,0.062420669943094254,214,51.60819172859192,19373.5234375,0.04031203570668011,0.1072943520362937,0.06737303733825684
19,3,800,4,16.025566339492798,0.030575649779860808,0.032040949910879135,284,16.400232791900635,1504.38671875,0.006701264422206417,0.06446485966444016,242,46.63106179237366,19373.5234375,0.0414040037922537,0.0955410766825807,0.08738875389099121
20,4,800,0,12.544424295425415,0.024146492715176125,0.03382030501961708,288,15.568281412124634,1504.38671875,0.0031767865065230948,0.040676627308130264,236,47.573145627975464,19373.5234375,0.04658109878779802,0.09965201310586731,0.06868147850036621
21,4,800,1,12.77576756477356,0.02558925070285916,0.034034427255392075,288,13.491930484771729,1504.38671875,0.007287324154824403,0.04238419979810715,197,49.08633542060852,19373.5234375,0.05189101487461205,0.11952439329059268,0.07636737823486328
22,4,800,2,11.998115539550781,0.032627569140427914,0.04328448697924614,299,14.084222555160522,1504.38671875,0.007127140836691118,0.03720330074429512,293,51.041619539260864,19373.5234375,0.03897179539594644,0.10387924985221673,0.0789036750793457
23,4,800,3,17.529477834701538,0.027807965554661026,0.03772088140249252,298,15.446836948394775,1504.38671875,0.01828900647463825,0.040186807513237,65,51.46399235725403,19373.5234375,0.054964692991406834,0.119684775763284,0.06624817848205566
24,4,800,4,18.052249908447266,0.027852412021965735,0.04188374802470207,299,14.196652889251709,1504.38671875,0.007276099886069939,0.04783698543906212,125,48.5791757106781,19373.5234375,0.05654922564628276,0.12363389779749495,0.09220075607299805
25,5,800,0,13.659042596817017,0.012201661206179673,0.018459850922226906,287,14.052557945251465,1504.38671875,0.011117907452651251,0.04624233767390251,107,46.65673112869263,19373.5234375,0.0296712990430054,0.07092333126533473,0.09538722038269043
26,5,800,1,15.071314334869385,0.018795590646576894,0.02839677780866623,297,15.868468761444092,1504.38671875,0.009338586008307868,0.04261849820613861,219,49.40998959541321,19373.5234375,0.024409515234173302,0.05772047541782434,0.0864565372467041
27,5,800,2,10.854464292526245,0.022573040660966725,0.030917858704924583,292,14.35494327545166,1504.38671875,0.019459611578771577,0.0415257029235363,298,50.25345468521118,19373.5234375,0.032252315432127185,0.06202067307016438,0.05519556999206543
28,5,800,3,12.681732654571533,0.012207580354556416,0.017429569736123085,298,15.836520433425903,1504.38671875,0.008856813676744965,0.03634640946984291,224,51.54652404785156,19373.5234375,0.029128532199690145,0.06647346390211699,0.0961310863494873
29,5,800,4,13.509181499481201,0.01994757294584297,0.027902139350771904,295,15.574440240859985,1504.38671875,0.0019572413293290655,0.03979163244366646,230,51.88465619087219,19373.5234375,0.02895313887260784,0.0626863970319077,0.070648193359375
30,6,800,0,15.208984136581421,0.014746705624555245,0.01870047114789486,291,15.16920804977417,1504.38671875,0.0014686828074650818,0.01999926194548607,291,51.88630390167236,19373.5234375,0.04144772055365165,0.0972934171683998,0.06291842460632324
31,6,800,1,14.310578346252441,0.013564520186470622,0.01602894626557827,287,14.85193943977356,1504.38671875,0.004775671387601459,0.017586423084139824,176,46.754722118377686,19373.5234375,0.039445677833484835,0.09224044086489475,0.06232929229736328
32,6,800,2,17.590466737747192,0.011320362493394158,0.014116386882960796,298,15.437862873077393,1504.38671875,0.002408827774556029,0.017252204939723015,298,47.696433544158936,19373.5234375,0.03575336834784156,0.08748685288204942,0.08172321319580078
33,6,800,3,14.19039273262024,0.011316448375774831,0.014710891991853714,292,14.778078317642212,1504.38671875,0.001369408737417073,0.017129812389612198,249,49.496479988098145,19373.5234375,0.04230478798124075,0.09123876187198127,0.04872465133666992
34,6,800,4,15.734946727752686,0.014204263298741108,0.018554186448454857,299,14.442933797836304,1504.38671875,0.0018619941830965141,0.017404524609446526,285,50.82808995246887,19373.5234375,0.04123633956283859,0.0899861482550747,0.08586597442626953
35,7,800,0,10.646287679672241,0.008124868838537283,0.016749411821365356,298,15.115785121917725,1504.38671875,0.0026859560715428716,0.02229481190443039,146,51.710246562957764,19373.5234375,0.025005296336995643,0.060366936929517126,0.060529232025146484
36,7,800,1,14.86801266670227,0.013996572342491912,0.01930147595703602,263,14.361901044845581,1504.38671875,0.010821836247914256,0.024139070883393288,209,52.76825571060181,19373.5234375,0.03589042061981171,0.08696749536347936,0.06283855438232422
37,7,800,2,13.54109001159668,0.01608237194594611,0.019238298758864403,291,14.940664291381836,1504.38671875,0.0008259466043633436,0.027671711519360542,299,52.369035720825195,19373.5234375,0.044332019814541546,0.10354253174367392,0.0623631477355957
38,7,800,3,10.62027621269226,0.012671600767468651,0.018428735435009003,287,15.539426803588867,1504.38671875,0.004025415383747617,0.02230203151702881,158,52.88201975822449,19373.5234375,0.03919760343871178,0.0936593709611828,0.0796973705291748
39,7,800,4,12.261565446853638,0.0154487841579019,0.019030028954148293,289,15.25173306465149,1504.38671875,0.01006744545038748,0.023854440078139305,223,61.567238569259644,19373.5234375,0.042608396737697125,0.08007518025699976,0.07377743721008301
40,8,800,0,10.762669801712036,0.016778458370119965,0.022377150133252144,298,14.267544507980347,1504.38671875,0.008903210415685148,0.0347554050385952,199,59.00510239601135,19373.5234375,0.029328602118966787,0.07522811367829428,0.06274962425231934
41,8,800,1,11.645308494567871,0.01734969424909503,0.025160610675811768,294,16.04950523376465,1504.38671875,0.013610772721603267,0.03323042020201683,57,28.301728010177612,19373.5234375,0.02772225748304213,0.06398666328822683,0.08112120628356934
42,8,800,2,15.956524133682251,0.01860076411144634,0.022052006796002388,296,17.448279857635498,1504.38671875,0.013697919463396595,0.02984035760164261,271,26.37716007232666,19373.5234375,0.030081880206417576,0.06784644431350077,0.04955410957336426
43,8,800,3,13.053481578826904,0.019258238269997185,0.022064121440052986,296,14.591816663742065,1504.38671875,0.009437217015398009,0.029333343729376793,73,58.76154685020447,19373.5234375,0.029989374838078783,0.06258403439285541,0.050621747970581055
44,8,800,4,15.649874925613403,0.019066181187029314,0.023648545145988464,299,16.53073501586914,1504.38671875,0.0048487777406114796,0.0341370590031147,162,26.777832746505737,19373.5234375,0.028959139968227975,0.06972285347778538,0.06508302688598633
45,9,800,0,12.646767854690552,0.01660978609474746,0.020851077511906624,285,15.986361026763916,1504.38671875,0.00569288395817035,0.02483687736093998,183,25.731637954711914,19373.5234375,0.033732611872623317,0.07491970545011405,0.07967638969421387
46,9,800,1,12.173578023910522,0.013929526411828812,0.018230989575386047,299,14.977580308914185,1504.38671875,0.004781010608726338,0.025589456781744957,169,26.182798624038696,19373.5234375,0.031362014548908725,0.0752657985418966,0.06142091751098633
47,9,800,2,14.641889333724976,0.01960632676654175,0.02258104458451271,298,15.273127317428589,1504.38671875,0.005789456039537715,0.02357637695968151,148,26.122898817062378,19373.5234375,0.035704581209509485,0.07929011325040172,0.06517910957336426
48,9,800,3,13.694321870803833,0.0166646085126504,0.021025795489549637,298,15.04921007156372,1504.38671875,0.004753975977084193,0.021341871470212936,203,25.80471420288086,19373.5234375,0.03153541196202426,0.07309517233526525,0.04975438117980957
49,9,800,4,13.347113609313965,0.016311174991579414,0.020027440041303635,299,15.440804243087769,1504.38671875,0.009436405621364037,0.021868128329515457,84,29.354979991912842,19373.5234375,0.03033068430802501,0.06761959140364274,0.06211447715759277
